Date,GS_QUANTITY_FAILS,close,open,low,high,volume
2020-08-07,219,210.4,211.96,208.34,214.1,3183113
2020-08-11,4947,219.33,214.32,214.32,226.19,4087749
2020-08-12,741,218.7,216.7,212.14,219.48,2484088
2020-08-13,482,212.7,213.44,211.0,220.8,2306233
2020-08-18,548,204.02,208.59,204.02,208.59,3098013
2020-08-21,570,205.06,207.29,203.19,212.18,1866249
2020-08-27,740,216.14,207.09,207.09,222.0,3828327
2020-08-28,5744,210.66,219.7,207.32,221.0,3777153
2020-09-03,500,212.94,220.39,212.94,221.62,3534088
2020-09-08,47,204.77,219.75,204.22,219.75,4743523
2020-09-10,528,205.34,210.07,205.34,210.07,2604804
2020-09-14,1493,205.19,213.0,205.19,213.0,2842572
2020-09-15,1662,206.0,211.0,203.92,211.0,3780833
2020-09-18,64,201.97,200.61,194.3614,205.03,9450980
2020-09-22,28895,199.6,199.0,197.06,199.6,3362874
2020-09-25,527,203.95,195.09,195.09,204.49,3121362
2020-09-28,13375,201.74,205.19,201.74,205.19,3406229
2020-10-01,111800,199.83,204.09,199.83,204.6,2399690
2020-10-02,725,209.8,203.92,201.62,209.8,2630362
2020-10-05,81,209.5,209.99,200.67,209.99,2606950
2020-10-07,3326,209.2,205.5,202.44,213.0,2435968
2020-10-09,85,214.4,211.18,211.18,214.95,3099543
2020-10-13,77,211.07,215.09,210.26,219.04,3357511
2020-10-14,6557,221.28,218.4,211.48,221.28,7853781
2020-10-20,22145,212.37,207.4,207.4,213.83,3423823
2020-10-22,3185,210.7,211.9,208.0,211.9,2149875
2020-10-27,2,205.24,206.0,198.73,208.54,3572844
2020-10-28,20,196.48,194.63,192.67,200.786,4395632
2020-11-10,329,226.17,221.19,217.48,226.17,4257191
2020-11-13,10341,219.71,224.5,219.71,224.5,2893417
2020-11-17,53990,234.02,222.06,221.62,234.02,2809223
2020-11-18,25,233.3,226.0,226.0,233.64,2990025
2020-11-19,4734,225.42,224.5,224.5,233.09,1507086
2020-11-20,5025,224.2,224.0,224.0,235.11,1877965
2020-11-23,2739,236.22,233.57,233.57,236.22,3519573
2020-11-24,11640,247.1,242.1,235.31,247.1,4109378
2020-11-25,5252,236.57,241.0,232.61,242.17,2333505
2020-11-27,564,244.2,239.0,239.0,244.568,1070568
2020-11-30,25630,236.24,234.73,234.73,239.0,2793095
2020-12-01,1628,242.15,238.14,233.14,242.15,2700172
2020-12-02,600,241.9,239.68,236.1587,245.22,2234179
2020-12-04,23241,247.42,247.8,241.21,247.8,2412826
2020-12-07,5893,249.55,244.63,244.63,249.55,1876147
2020-12-08,1300,248.38,245.66,237.73,248.38,1375572
2020-12-10,4221,248.6,242.0,242.0,253.9786,2558865
2020-12-11,200,240.84,249.39,238.6,249.39,2133167
2020-12-14,6902,248.76,243.47,240.44,248.76,2017921
2020-12-15,2470,246.65,247.3,242.36,249.18,2357060
2020-12-17,1,251.45,247.0,247.0,256.58,3103459
2020-12-18,5121,247.55,247.92,247.55,250.77,4285240
2020-12-21,499,267.75,262.34,259.43,267.75,7473439
2020-12-22,14756,258.36,260.69,258.36,261.4,3746646
2020-12-23,7315,265.65,263.1,258.3,270.379,3419498
2020-12-24,28955,262.53,266.91,254.51,266.91,990710
2020-12-28,1772,270.11,265.89,263.0,273.236,2845515
2020-12-29,1525,259.58,263.03,259.58,266.6844,1488649
2021-01-07,4621,294.18,301.93,294.18,307.3267,4121043
2021-01-08,33,296.41,296.0,296.0,297.09,2831485
2021-01-13,56023,313.56,310.34,300.5,313.56,2419407
2021-01-15,1299,305.88,316.1,304.21,316.1,4002868
2021-01-20,35867,301.71,299.08,299.08,301.71,4799850
2021-01-21,565,299.21,292.66,292.66,301.84,2637103
2021-01-22,519,298.64,286.93,286.93,304.54,2636139
2021-01-25,44865,296.5,293.22,287.5,296.5,4607714
2021-01-26,43795,285.39,291.57,285.39,291.57,3428679
2021-02-04,1214,295.98,303.0,291.204,306.06,3073780
2021-02-09,34658,303.28,305.9,301.4,312.41,2139606
2021-02-10,60,309.92,312.0,303.13,314.41,3233528
2021-02-12,70,307.82,315.1,305.38,315.1,1985540
2021-02-16,2796,316.86,311.0,311.0,326.34,2855105
2021-02-17,1014,321.99,319.03,311.4686,327.74,2530649
2021-02-18,1725,312.6,315.39,312.6,328.3,2170042
2021-02-22,606,332.6,319.0,319.0,332.6,3249418
2021-02-23,5475,329.81,329.68,324.45,331.0,3069752
2021-02-24,7656,344.16,329.91,327.41,344.16,3976896
2021-03-01,1554,340.64,327.0,327.0,340.64,2966311
2021-03-02,976,339.06,344.0,336.98,344.27,2869539
2021-03-04,22000,340.28,345.56,330.44,347.3,3737793
2021-03-09,5258,346.69,330.72,330.72,346.69,3423536
2021-03-16,10,344.52,353.66,344.52,353.8,2441089
2021-03-17,5870,349.86,347.24,347.24,361.9,2821273
2021-03-18,5642,365.0,360.91,349.4,370.47,3832791
2021-03-23,626,338.24,353.68,331.48,353.68,2501465
2021-03-25,1325,332.75,332.7,331.29,332.75,2813385
2021-03-26,595,342.44,351.11,324.66,351.11,3140624
2021-04-06,105,339.29,339.44,325.0,339.44,1890162
2021-04-07,6871,331.84,334.7,324.71,345.0,2180505
2021-04-09,6235,336.5,336.0,333.23,336.5,2360095
2021-04-20,1768,347.94,348.63,344.51,348.63,3839369
2021-04-22,30851,344.26,339.91,339.3,347.82,2204067
2021-04-27,20971,348.87,360.0,348.87,360.0,2179495
2021-04-30,67,358.78,354.95,354.95,370.0882,2162036
2021-05-04,3,355.43,353.4,344.82,369.18,2832713
2021-05-11,218,363.1,364.0,362.02,379.05,3910953
2021-05-12,1221,369.4,375.45,368.4648,385.15,3437742
2021-05-25,56255,376.22,378.161,366.04,378.161,2687887
2021-05-27,1665,373.73,379.2,372.2,380.5959,4013817
2021-05-28,8,387.69,385.0,376.9,387.69,2187092
2021-06-01,9569,396.79,380.4,380.4,396.79,3764401
2021-06-02,3502,396.75,386.58,386.58,397.24,2842888
2021-06-04,6405,410.34,405.26,397.83,410.34,2571550
2021-06-07,8059,402.91,412.0,393.72,412.0,2263402
2021-06-08,992,398.3,398.59,396.92,400.6367,2541524
2021-06-11,363,391.78,377.6,377.6,392.01,2171458
2021-06-14,294,389.01,394.01,376.3,394.01,2666674
2021-06-21,62,373.08,357.22,357.22,373.08,2725961
2021-06-22,2285,363.86,358.0,358.0,368.03,1922162
2021-07-07,474,384.92,377.4,370.57,384.92,2065445
2021-07-13,1538,378.96,390.24,373.59,390.24,6521967
2021-07-22,311,373.66,377.2,373.66,386.9591,1961336
2021-07-26,22,385.6,374.31,374.31,388.8494,1620330
2021-07-27,3442,391.37,373.8,373.8,391.37,1842177
2021-07-29,272,388.53,382.99,380.53,393.09,1301193
2021-08-03,400,381.49,396.33,381.49,396.33,1528315
2021-08-10,3300,416.12,413.54,405.4,422.0,3178093
2021-08-11,101,418.96,421.9,415.25,421.9,3049272
2021-08-17,732,424.51,406.02,406.02,424.51,2105188
2021-08-24,1231,414.72,410.8,410.8,422.0,2010464
2021-08-25,8957,431.36,419.6,419.6,431.36,1884719
2021-08-27,7333,427.35,428.1,422.6,428.36,2181921
2021-08-30,277,425.3,426.06,423.598,431.134,2173987
2021-09-01,34975,423.29,428.8,412.98,428.8,1750672
2021-09-10,25587,403.81,414.0,403.81,419.24,2020229
2021-09-13,32,427.85,420.18,404.6,427.85,1849066
